adult,belongs_to_collection,budget,original_language,original_title,overview,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count,languages,day_of_week,month,season,year,has_homepage,genre,companies,countries
FALSE,Avatar Collection,237000000,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,12/10/2009,2787965087,162,Enter the World of Pandora.,Avatar,7.2,12114,"['English', 'EspaÃ±ol']",Thursday,Dec,Q4,2009,YES,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Lightstorm Entertainment']","['United States of America', 'United Kingdom']"
FALSE,Star Wars Collection,245000000,en,Star Wars: The Force Awakens,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.626013,12/15/2015,2068223624,136,Every generation has a story.,Star Wars: The Force Awakens,7.5,7993,['English'],Tuesday,Dec,Q4,2015,YES,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",['United States of America']
FALSE,not available,200000000,en,Titanic,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancÃ©, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,11/18/1997,1845034188,194,Nothing on Earth could come between them.,Titanic,7.5,7770,"['English', 'FranÃ§ais', 'Deutsch', 'svenska', 'Italiano', 'PÑƒÑÑÐºÐ¸Ð¹']",Tuesday,Nov,Q4,1997,YES,"['Drama', 'Romance', 'Thriller']","['Paramount Pictures', 'Twentieth Century Fox Film Corporation', 'Lightstorm Entertainment']",['United States of America']
FALSE,The Avengers Collection,220000000,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",89.887648,4/25/2012,1519557910,143,Some assembly required.,The Avengers,7.4,12000,['English'],Wednesday,Apr,Q2,2012,YES,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Marvel Studios']",['United States of America']
FALSE,Jurassic Park Collection,150000000,en,Jurassic World,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",32.790475,6/9/2015,1513528810,124,The park is open.,Jurassic World,6.5,8842,['English'],Tuesday,Jun,Q2,2015,YES,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",['United States of America']
FALSE,The Fast and the Furious Collection,190000000,en,Furious 7,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,27.275687,4/1/2015,1506249360,137,Vengeance Hits Home,Furious 7,7.3,4253,['English'],Wednesday,Apr,Q2,2015,YES,['Action'],"['Universal Pictures', 'Original Film', 'Fuji Television Network', 'Dentsu', 'One Race Films', 'China Film Co.', 'QuÃ©bec Production Services Tax Credit', 'Media Rights Capital (MRC)', 'Abu Dhabi Film Commission', 'Colorado Office of Film, Television & Media']","['Japan', 'United States of America']"
FALSE,The Avengers Collection,280000000,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earthâ€™s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,4/22/2015,1405403694,141,A New Age Has Come.,Avengers: Age of Ultron,7.3,6908,['English'],Wednesday,Apr,Q2,2015,YES,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",['United States of America']
FALSE,Harry Potter Collection,125000000,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",24.990737,7/7/2011,1342000000,130,It all ends here.,Harry Potter and the Deathly Hallows: Part 2,7.9,6141,['English'],Thursday,Jul,Q3,2011,YES,"['Family', 'Fantasy', 'Adventure']","['Warner Bros.', 'Heyday Films']","['United Kingdom', 'United States of America']"
FALSE,Frozen Collection,150000000,en,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsaâ€™s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",24.248243,11/27/2013,1274219009,102,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5440,['English'],Wednesday,Nov,Q4,2013,YES,"['Animation', 'Adventure', 'Family']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America']
FALSE,not available,160000000,en,Beauty and the Beast,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,287.253654,3/16/2017,1262886337,129,Be our guest.,Beauty and the Beast,6.8,5530,['English'],Thursday,Mar,Q1,2017,YES,"['Family', 'Fantasy', 'Romance']","['Walt Disney Pictures', 'Mandeville Films']","['United Kingdom', 'United States of America']"
FALSE,The Fast and the Furious Collection,250000000,en,The Fate of the Furious,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before.",48.573287,4/12/2017,1238764765,136,Family no more,The Fate of the Furious,6.8,3803,['English'],Wednesday,Apr,Q2,2017,YES,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'One Race Films']",['United States of America']
FALSE,Iron Man Collection,200000000,en,Iron Man 3,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",23.721243,4/18/2013,1215439994,130,Unleash the power behind the armor.,Iron Man 3,6.8,8951,['English'],Thursday,Apr,Q2,2013,YES,"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios'],"['China', 'United States of America']"
